team,season_end_year,srs,mov,net_rating,off_rating,def_rating,pace,w,l,win_pct
HOU,2010,-0.02,-0.37,-0.4,107.6,108.0,94.0,42.0,40.0,0.512
IND,2010,-3.11,-3.01,-3.1,103.7,106.8,97.1,32.0,50.0,0.39
LAC,2010,-6.01,-6.35,-6.8,103.3,110.1,92.6,29.0,53.0,0.354
LAL,2010,4.78,4.72,5.1,108.8,103.7,92.8,57.0,25.0,0.695
MEM,2010,-1.39,-1.51,-1.6,108.3,109.9,93.6,40.0,42.0,0.488
MIA,2010,1.99,2.28,2.5,106.6,104.1,89.6,47.0,35.0,0.573
MIL,2010,1.37,1.7,1.8,104.9,103.1,91.7,46.0,36.0,0.561
MIN,2010,-9.06,-9.6,-9.9,101.7,111.6,96.1,15.0,67.0,0.183
NJN,2010,-8.93,-9.12,-9.9,100.6,110.5,91.4,12.0,70.0,0.146
NOP,2010,-2.27,-2.46,-2.7,107.4,110.1,92.6,37.0,45.0,0.451
NYK,2010,-4.01,-3.82,-4.0,107.6,111.6,94.0,29.0,53.0,0.354
OKC,2010,3.55,3.49,3.7,108.3,104.6,93.1,50.0,32.0,0.61
ORL,2010,7.12,7.49,8.1,111.4,103.3,92.0,59.0,23.0,0.72
PHI,2010,-3.93,-3.9,-4.2,106.1,110.3,91.6,27.0,55.0,0.329
PHX,2010,4.67,4.9,5.1,115.3,110.2,95.3,54.0,28.0,0.658
POR,2010,3.18,3.3,3.7,110.8,107.1,87.7,50.0,32.0,0.61
SAC,2010,-4.06,-4.37,-4.6,105.3,109.9,94.0,25.0,57.0,0.305
SAS,2010,5.07,5.09,5.5,110.0,104.5,91.7,50.0,32.0,0.61
TOR,2010,-1.83,-1.78,-1.9,111.3,113.2,93.1,40.0,42.0,0.488
UTA,2010,5.33,5.34,5.7,110.7,105.0,93.8,53.0,29.0,0.646
WAS,2010,-4.72,-4.78,-5.2,104.2,109.4,91.6,26.0,56.0,0.317
ATL,2011,-1.1,-0.82,-0.9,106.1,107.0,89.3,44.0,38.0,0.537
BOS,2011,4.83,5.37,5.9,106.2,100.3,90.4,56.0,26.0,0.683
CHA,2011,-4.08,-4.0,-4.4,103.4,107.8,89.6,34.0,48.0,0.415
CHI,2011,6.53,7.32,8.0,108.3,100.3,90.4,62.0,20.0,0.756
CLE,2011,-8.88,-9.01,-9.6,102.2,111.8,93.0,19.0,63.0,0.232
DAL,2011,4.41,4.23,4.7,109.7,105.0,91.3,57.0,25.0,0.695
DEN,2011,4.81,4.76,5.0,112.3,107.3,95.6,50.0,32.0,0.61
DET,2011,-3.78,-3.6,-4.0,107.7,111.7,89.2,30.0,52.0,0.366
GSW,2011,-2.0,-2.33,-2.5,108.2,110.7,94.8,36.0,46.0,0.439
HOU,2011,2.37,2.18,2.3,111.3,109.0,94.2,43.0,39.0,0.524
IND,2011,-1.38,-1.07,-1.2,104.8,106.0,94.7,37.0,45.0,0.451
LAC,2011,-2.71,-3.13,-3.4,105.3,108.7,92.8,32.0,50.0,0.39
